Golden State Warriors,982,.383,2550,.557,1457,.788,2491,785,555,9503
Houston Rockets,1181,.357,2124,.552,1667,.766,2070,670,352,9458
Denver Nuggets,870,.368,2507,.519,1537,.774,2077,568,323,9161
Cleveland Cavaliers,1067,.384,2208,.528,1431,.748,1858,539,327,9048
Washington Wizards,756,.372,2632,.515,1421,.784,1956,693,336,8953
Los Angeles Clippers,841,.375,2401,.525,1586,.745,1848,612,347,8911
Boston Celtics,985,.359,2183,.515,1536,.807,2069,617,340,8857
Portland Trail Blazers,852,.375,2391,.499,1513,.780,1733,574,408,8851
Phoenix Suns,615,.332,2655,.491,1676,.776,1604,673,399,8831
Toronto Raptors,725,.363,2486,.505,1615,.796,1517,677,400,8762
Oklahoma City Thunder,692,.327,2545,.504,1575,.745,1721,648,408,8741
Brooklyn Nets,877,.338,2225,.506,1592,.788,1756,593,387,8673
Minnesota Timberwolves,601,.349,2634,.507,1586,.799,1940,654,370,8657
San Antonio Spurs,753,.391,2469,.500,1440,.797,1954,655,484,8637
Indiana Pacers,709,.376,2512,.498,1467,.810,1844,669,409,8618
Charlotte Hornets,824,.351,2269,.488,1591,.815,1891,571,390,8601
Los Angeles Lakers,730,.346,2494,.493,1397,.754,1716,674,320,8575
New Orleans Pelicans,768,.350,2442,.495,1368,.750,1869,638,453,8556
New York Knicks,704,.348,2540,.485,1364,.788,1786,581,455,8556
Milwaukee Bucks,720,.370,2462,.516,1413,.768,1984,666,436,8497
Atlanta Hawks,729,.341,2394,.501,1484,.728,1938,672,397,8459
Miami Heat,808,.365,2394,.496,1248,.706,1742,588,469,8460
Chicago Bulls,623,.340,2546,.479,1474,.798,1851,643,393,8435
Sacramento Kings,737,.376,2368,.496,1483,.775,1844,627,324,8430
Philadelphia 76ers,831,.340,2257,.496,1393,.771,1949,692,420,8400
Detroit Pistons,631,.330,2638,.492,1140,.719,1732,574,310,8309
Orlando Magic,701,.328,2438,.488,1309,.747,1820,580,396,8288
Utah Jazz,791,.372,2242,.511,1401,.747,1651,550,410,8258
Memphis Grizzlies,767,.354,2217,.473,1504,.784,1744,653,344,8239
Dallas Mavericks,878,.355,2090,.489,1215,.801,1705,614,307,8029
